Production,Land,Labor,N,P,K,Pesticides,fert
6.837332814685591,13.972515161474428,13.334098094766633,9.61587214452889,8.517393171418904,8.517393171418904,2.1972245773362196,10.12667110305036
6.812345094177479,14.145534189812583,13.015245763397388,9.661479683575521,2.1972245773362196,0.0,4.499809670330265,9.661989075499939
6.903747257584598,14.182928290955445,12.989437515694666,9.254452946594503,2.302585092994046,1.791759469228055,4.59511985013459,9.2557916348801
7.024649030453636,14.22430412061672,12.973631323603929,9.487062604191621,7.098375638590786,1.791759469228055,5.327876168789581,9.575122364808813
7.133295954896068,14.288634937599019,12.953883185424258,9.235228087483963,3.5263605246161616,3.7376696182833684,5.402677381872279,9.242420265439595
7.149916836132109,14.378777387015928,12.933345852569447,10.96648993456911,0.0,0.6931471805599453,5.43372200355424,10.96650720527885
7.249925536717988,14.376212042032586,12.919458632756049,10.196492931019254,0.0,2.5649493574615367,5.493061443340548,10.196940441748334
7.270312886079025,14.374440968224924,12.911753451027405,10.099547635440596,3.1780538303479458,3.6109179126442243,5.389071729816501,10.101969490779476
7.262628600974241,14.373010394567068,12.907249997785383,10.585143966380576,0.0,1.791759469228055,5.293304824724492,10.585270403017024
7.134890851565884,14.366518547731806,12.922863107837594,10.295124152707759,3.5553480614894135,1.6094379124341003,5.634789603169249,10.29644138670722
7.237059026124737,14.345021125827689,12.962189930404806,10.489828728778264,6.0330862217988015,1.6094379124341003,5.762051382780177,10.501417049013888
7.315883504509785,14.336089067349832,12.93891879024777,10.958635469790153,4.204692619390966,6.244166900663736,5.872117789475416,10.968680931658794
7.368339686311381,14.533838524621439,12.932782737100188,10.978404647692702,6.327936783729195,3.6888794541139363,5.973809611869261,10.98857546438435
7.427144133408616,14.533058113295327,12.867042648894799,10.792139837106326,7.9294865233142895,7.438971592395862,6.066108090103747,10.88019582596355
7.48605261786314,14.531251076006964,12.86216935625426,11.055372009661664,7.424761761823209,4.418840607796598,6.150602768446279,11.082773119257247
7.409136443920128,14.531153305229497,12.801102459822198,11.893366738973565,5.783825182329737,6.82001636467413,6.226536669287466,11.90180038038449
7.370860166536716,14.530321867444792,12.725651844719177,11.408753132032544,3.1780538303479458,5.351858133476067,6.298949246855942,11.411335609208596
